num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,,,num_distr,mouse.time,mouse.clicked_name,,,,,num_distr,mouse.time,mouse.clicked_name,,,
10,1.3457132,target,,,,5,1.1009677,target,,,,,,10,3.2148254,target,,,,,10,1.0756269,target,,,
10,1.0955492,target,,,,5,0.9715446,target,,,,,,10,1.3399249,target,,,,,5,1.2889308,target,,,
10,1.0622223,target,,,,5,0.9898609,target,,,,,,10,1.0584199,target,,,,,10,1.7907799,target,,,
5,1.1863068,target,,,,5,1.0995864,target,,,,,,10,1.244138,target,,,,,10,1.6780956,target,,,
10,1.2099954,target,,,,5,1.1544195,target,,,,,,10,1.2777887,target,,,,,5,1.222066,target,,,
10,1.3439648,target,,,,5,2.2564162,target,,,,,,10,1.4906968,target,,,,,5,1.0723106,target,,,
5,1.2230134,target,,,,5,1.18939,target,,,,,,10,0.9591498,target,,,,,10,1.3436282,target,,,
10,1.0756269,target,,,,5,1.0015617,target,,,,,,10,2.0604432,target,,,,,5,1.1350727,target,,,
5,1.0558386,,,,,5,1.4041283,target,,,,,,10,1.1580744,target,,,,,10,1.0443218,target,,,
5,1.2889308,target,,,,5,1.1212327,target,,,,,,10,1.228079,target,,,,,10,1.2606541,target,,,
10,1.7907799,target,,,,5,1.6577067,target,,,,,,10,0.9924156,target,,,,,5,0.9716381,target,,,
10,1.6780956,target,,,,5,1.7217693,target,,,,,,10,1.4388119,target,,,,,10,1.2250307,target,,,
10,1.2425106,,,,,5,1.016021,target,,,,,,10,1.012221,target,,,,,5,1.1891235,target,,,
5,1.222066,target,,,,5,1.1348516,target,,,,,,10,0.9252276,target,,,,,5,1.2893193,target,,,
5,1.0723106,target,,,,5,1.4144309,target,,,,,,10,1.1960657,target,,,,,5,1.255599,target,,,
10,1.3436282,target,,,,5,0.9680016,target,,,,,,10,0.8722511,target,,,,,5,1.087392,target,,,
5,1.1350727,target,,,,5,1.2042886,target,,,,,,10,1.0618245,target,,,,,10,1.8099792,target,,,
10,1.0443218,target,,,,5,1.0901615,target,,,,,,10,1.2591317,target,,,,,5,1.4875435,target,,,
10,1.2606541,target,,,,5,1.0225848,target,,,,,,10,1.1744939,target,,,,,10,1.3969452,target,,,
10,1.7792373,,,,,5,1.1708714,target,,,,,,10,1.5116271,target,,,,,5,1.0886447,target,,,
5,0.9716381,target,,,,5,1.0224828,target,,,,,,10,2.2448285,target,,,,,5,1.1206764,target,,,
10,1.2250307,target,,,,5,1.0225311,target,,,,,,10,1.3616836,target,,,,,10,2.2444872,target,,,
10,1.4285311,,,,,5,0.9548746,target,,,,,,10,2.0632422,target,,,,,5,1.0342498,target,,,
5,1.1891235,target,,,,5,0.8716277,target,,,,,,,,,,,,,10,3.1935521,target,,,
5,1.2893193,target,,,,5,1.0186736,target,,,,,,,,,,,,,10,1.3104783,target,,,
5,1.255599,target,,,,5,1.0048414,target,,,,,,,,,,,,,5,1.7731801,target,,,
5,1.2844066,,,,,5,1.1721662,target,,,,,,,,,,,,,5,1.407221,target,,,
5,1.087392,target,,,,5,1.0536923,target,,,,,,,,,,,,,10,1.0578704,target,,,
5,1.1073078,,,,,5,1.0723024,target,,,,,,,,,,,,,5,2.0689422,target,,,
10,1.8099792,target,,,,5,1.0538425,target,,,,,,,,,,,,,10,1.0116915,target,,,
5,1.4875435,target,,,,,,,,,,,,,,,,,,,10,2.7274459,target,,,
10,1.3969452,target,,,,,,,,,,,,,,,,,,,10,0.9919074,target,,,
5,1.0886447,target,,,,,,,,,,,,,,,,,,,5,1.5899332,target,,,
5,1.1206764,target,,,,,,,,,,,,,,,,,,,5,1.1906232,target,,,
10,1.2444594,,,,,,,,,,,,,,,,,,,,5,1.2532014,target,,,
10,2.2444872,target,,,,,,,,,,,,,,,,,,,5,1.1222932,target,,,
5,1.0902332,,,,,,,,,,,,,,,,,,,,10,0.9285822,target,,,
5,1.0342498,target,,,,,,,,,,,,,,,,,,,5,0.955926,target,,,
10,1.2261007,,,,,,,,,,,,,,,,,,,,5,1.7165591,target,,,
10,3.1935521,target,,,,,,,,,,,,,,,,,,,5,1.0027153,target,,,
10,1.178257,,,,,,,,,,,,,,,,,,,,5,0.9036355,target,,,
10,1.3441973,,,,,,,,,,,,,,,,,,,,10,1.3287564,target,,,
10,1.3104783,target,,,,,,,,,,,,,,,,,,,5,1.0390353,target,,,
5,1.7731801,target,,,,,,,,,,,,,,,,,,,5,1.1009677,target,,,
5,1.407221,target,,,,,,,,,,,,,,,,,,,10,1.0179719,target,,,
10,1.0578704,target,,,,,,,,,,,,,,,,,,,5,0.9715446,target,,,
5,0.9027661,,,,,,,,,,,,,,,,,,,,10,1.8955543,target,,,
5,2.0689422,target,,,,,,,,,,,,,,,,,,,10,1.1098945,target,,,
10,1.0116915,target,,,,,,,,,,,,,,,,,,,5,0.9898609,target,,,
10,2.7274459,target,,,,,,,,,,,,,,,,,,,10,2.6084102,target,,,
10,0.9919074,target,,,,,,,,,,,,,,,,,,,10,1.2926964,target,,,
5,1.5899332,target,,,,,,,,,,,,,,,,,,,5,1.0995864,target,,,
5,1.1906232,target,,,,,,,,,,,,,,,,,,,5,1.1544195,target,,,
5,1.2532014,target,,,,,,,,,,,,,,,,,,,5,2.2564162,target,,,
5,1.1222932,target,,,,,,,,,,,,,,,,,,,10,3.2148254,target,,,
10,0.9285822,target,,,,,,,,,,,,,,,,,,,5,1.18939,target,,,
5,0.955926,target,,,,,,,,,,,,,,,,,,,5,1.0015617,target,,,
10,1.0281084,,,,,,,,,,,,,,,,,,,,10,1.3399249,target,,,
5,1.7165591,target,,,,,,,,,,,,,,,,,,,5,1.4041283,target,,,
5,1.0027153,target,,,,,,,,,,,,,,,,,,,5,1.1212327,target,,,
5,0.9036355,target,,,,,,,,,,,,,,,,,,,10,1.0584199,target,,,
10,1.3287564,target,,,,,,,,,,,,,,,,,,,5,1.6577067,target,,,
5,1.1052663,,,,,,,,,,,,,,,,,,,,5,1.7217693,target,,,
5,1.4542943,,,,,,,,,,,,,,,,,,,,10,1.244138,target,,,
5,1.0390353,target,,,,,,,,,,,,,,,,,,,5,1.016021,target,,,
5,1.1009677,target,,,,,,,,,,,,,,,,,,,10,1.2777887,target,,,
10,1.0179719,target,,,,,,,,,,,,,,,,,,,5,1.1348516,target,,,
5,0.9715446,target,,,,,,,,,,,,,,,,,,,10,1.4906968,target,,,
10,1.8955543,target,,,,,,,,,,,,,,,,,,,10,0.9591498,target,,,
10,1.1098945,target,,,,,,,,,,,,,,,,,,,5,1.4144309,target,,,
5,0.9898609,target,,,,,,,,,,,,,,,,,,,10,2.0604432,target,,,
10,2.6084102,target,,,,,,,,,,,,,,,,,,,10,1.1580744,target,,,
10,1.2926964,target,,,,,,,,,,,,,,,,,,,5,0.9680016,target,,,
5,1.320384,,,,,,,,,,,,,,,,,,,,5,1.2042886,target,,,
5,1.3541325,,,,,,,,,,,,,,,,,,,,10,1.228079,target,,,
5,1.0995864,target,,,,,,,,,,,,,,,,,,,10,0.9924156,target,,,
5,1.1544195,target,,,,,,,,,,,,,,,,,,,5,1.0901615,target,,,
5,2.2564162,target,,,,,,,,,,,,,,,,,,,10,1.4388119,target,,,
10,1.2231985,,,,,,,,,,,,,,,,,,,,5,1.0225848,target,,,
10,3.2148254,target,,,,,,,,,,,,,,,,,,,10,1.012221,target,,,
5,1.18939,target,,,,,,,,,,,,,,,,,,,5,1.1708714,target,,,
5,1.0015617,target,,,,,,,,,,,,,,,,,,,10,0.9252276,target,,,
5,1.0565787,,,,,,,,,,,,,,,,,,,,10,1.1960657,target,,,
10,1.3399249,target,,,,,,,,,,,,,,,,,,,5,1.0224828,target,,,
5,1.4041283,target,,,,,,,,,,,,,,,,,,,10,0.8722511,target,,,
5,1.1212327,target,,,,,,,,,,,,,,,,,,,10,1.0618245,target,,,
5,1.0357014,,,,,,,,,,,,,,,,,,,,10,1.2591317,target,,,
10,1.1103508,,,,,,,,,,,,,,,,,,,,5,1.0225311,target,,,
5,1.1718801,,,,,,,,,,,,,,,,,,,,5,0.9548746,target,,,
10,1.0584199,target,,,,,,,,,,,,,,,,,,,5,0.8716277,target,,,
5,1.6577067,target,,,,,,,,,,,,,,,,,,,5,1.0186736,target,,,
5,1.7217693,target,,,,,,,,,,,,,,,,,,,10,1.1744939,target,,,
5,1.074161,,,,,,,,,,,,,,,,,,,,5,1.0048414,target,,,
10,1.244138,target,,,,,,,,,,,,,,,,,,,10,1.5116271,target,,,
10,1.5278994,,,,,,,,,,,,,,,,,,,,10,2.2448285,target,,,
5,1.016021,target,,,,,,,,,,,,,,,,,,,10,1.3616836,target,,,
10,0.9727527,,,,,,,,,,,,,,,,,,,,5,1.1721662,target,,,
10,1.2777887,target,,,,,,,,,,,,,,,,,,,10,2.0632422,target,,,
5,0.9688831,,,,,,,,,,,,,,,,,,,,5,1.0536923,target,,,
5,1.1348516,target,,,,,,,,,,,,,,,,,,,5,1.0723024,target,,,
5,1.1046732,,,,,,,,,,,,,,,,,,,,5,1.0538425,target,,,
5,1.2730889,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.4906968,target,,,,,,,,,,,,,,,,,,,,,,,,
10,0.9591498,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.4144309,target,,,,,,,,,,,,,,,,,,,,,,,,
10,2.0604432,target,,,,,,,,,,,,,,,,,,,,,,,,
10,1.1580744,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.1560327,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.9680016,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.2042886,target,,,,,,,,,,,,,,,,,,,,,,,,
10,1.228079,target,,,,,,,,,,,,,,,,,,,,,,,,
10,0.9924156,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0901615,target,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0077415,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.4388119,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0225848,target,,,,,,,,,,,,,,,,,,,,,,,,
10,1.012221,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.1708714,target,,,,,,,,,,,,,,,,,,,,,,,,
5,0.8224254,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.9354628,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0684413,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0755792,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.9252276,target,,,,,,,,,,,,,,,,,,,,,,,,
10,1.1960657,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0224828,target,,,,,,,,,,,,,,,,,,,,,,,,
10,0.8722511,target,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0618245,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.057004,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.2591317,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0225311,target,,,,,,,,,,,,,,,,,,,,,,,,
5,0.9548746,target,,,,,,,,,,,,,,,,,,,,,,,,
5,0.8716277,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0186736,target,,,,,,,,,,,,,,,,,,,,,,,,
10,1.1744939,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0048414,target,,,,,,,,,,,,,,,,,,,,,,,,
10,0.4092475,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.5116271,target,,,,,,,,,,,,,,,,,,,,,,,,
10,2.2448285,target,,,,,,,,,,,,,,,,,,,,,,,,
10,1.3616836,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.2068611,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.1775923,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.1721662,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.2557216,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0386023,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.4871389,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.0632422,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0536923,target,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0723024,target,,,,,,,,,,,,,,,,,,,,,,,,
5,0.9730251,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.4451698,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.2304297,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0538425,target,,,,,,,,,,,,,,,,,,,,,,,,
