num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,
10,2.1385309,Target,,,,5,1.6658324,Target,,,,10,1.8595201,Target,,,,10,2.1385309,Target,,,
10,1.2280013,Target,,,,5,1.3850366,Target,,,,10,1.7758595,Target,,,,10,1.2280013,Target,,,
5,1.2170239,Target,,,,5,2.2993467,Target,,,,10,2.110323,Target,,,,5,1.2170239,Target,,,
5,1.2573274,Target,,,,5,1.4685112,Target,,,,10,1.410121,Target,,,,5,1.2573274,Target,,,
10,1.1594012,Target,,,,5,1.8453441,Target,,,,10,1.6386422,Target,,,,10,1.1594012,Target,,,
10,1.3944475,Target,,,,5,1.5054162,Target,,,,10,1.3586238,Target,,,,10,1.3944475,Target,,,
10,1.6174415,Target,,,,5,1.1503623,Target,,,,10,1.4734968,Target,,,,10,1.6174415,Target,,,
10,1.4636741,Target,,,,5,1.5825797,Target,,,,10,2.0349694,Target,,,,10,1.4636741,Target,,,
10,1.3939032,Target,,,,5,1.5283437,Target,,,,10,2.596407,Target,,,,10,1.3939032,Target,,,
10,1.2903378,Target,,,,5,1.1372962,Target,,,,10,1.6102884,Target,,,,10,1.2903378,Target,,,
10,2.163437,Target,,,,5,2.2109688,Target,,,,10,1.5395334,Target,,,,10,2.163437,Target,,,
5,1.2685198,Target,,,,5,1.3671153,Target,,,,10,2.1420647,Target,,,,5,1.2685198,Target,,,
5,3.1297877,Target,,,,5,2.0467946,Target,,,,10,1.4944522,Target,,,,5,3.1297877,Target,,,
5,2.005982,Target,,,,,,,,,,10,2.0210626,Target,,,,5,2.005982,Target,,,
5,1.7325491,Target,,,,,,,,,,10,1.5220204,Target,,,,5,1.7325491,Target,,,
10,1.1613546,Target,,,,,,,,,,10,1.9618925,Target,,,,10,1.1613546,Target,,,
5,1.7156147,Target,,,,,,,,,,10,1.9902569,Target,,,,5,1.7156147,Target,,,
5,1.0471239,Target,,,,,,,,,,10,1.7849471,Target,,,,5,1.0471239,Target,,,
10,1.8216515,Target,,,,,,,,,,10,5.4925168,Target,,,,10,1.8216515,Target,,,
10,2.4418694,Target,,,,,,,,,,10,2.2437732,Target,,,,10,2.4418694,Target,,,
10,2.3803006,Target,,,,,,,,,,10,3.6263303,Target,,,,10,2.3803006,Target,,,
