num_distr,mouse.time,mouse.clicked_name,,,,,num_distr,mouse.time,mouse.clicked_name,,,num_distr,mouse.time,mouse.clicked_name,,,,,,,,
10,1.9028704,target,,,,,5,1.1325165,target,,,10,2.8360102,Target,,,,,,,,
5,1.3769144,target,,,,,5,1.5993767,target,,,10,4.1363487,Target,,,,,,,,
10,1.2331063,target,,,,,5,1.5066211,target,,,10,1.7181216,Target,,,,,,,,
5,1.4068214,target,,,,,5,1.1624493,target,,,10,1.7617855,Target,,,,,,,,
10,1.8598865,target,,,,,5,1.6433847,target,,,10,1.8543629,Target,,,,,,,,
5,1.6247592,target,,,,,5,1.0033462,target,,,10,1.34666,Target,,,,,,,,
5,1.2537548,target,,,,,5,2.3814031,target,,,10,2.0963285,Target,,,,,,,,
10,1.2608345,target,,,,,5,1.0575941,Target,,,10,1.5424561,Target,,,,,,,,
10,1.3145775,target,,,,,5,1.8823117,Target,,,10,1.0981718,Target,,,,,,,,
5,1.7633031,target,,,,,5,1.4313933,Target,,,10,1.9958623,Target,,,,,,,,
5,1.355611,target,,,,,5,1.2983714,Target,,,10,1.5600036,Target,,,,,,,,
5,1.6668462,target,,,,,5,1.3140057,Target,,,10,1.5463864,Target,,,,,,,,
10,1.6582486,target,,,,,5,1.3137849,Target,,,10,1.8528131,Target,,,,,,,,
5,1.5032464,target,,,,,5,1.2015934,Target,,,10,1.3270539,Target,,,,,,,,
5,1.2498216,target,,,,,5,1.7394895,Target,,,10,1.4627592,Target,,,,,,,,
10,1.3824666,target,,,,,5,1.5074219,Target,,,10,1.1668759,Target,,,,,,,,
10,2.9353618,target,,,,,5,1.5179311,Target,,,10,1.1305846,Target,,,,,,,,
10,1.9201887,target,,,,,5,1.3317285,Target,,,10,1.1916505,Target,,,,,,,,
10,1.4462027,target,,,,,5,1.4671985,Target,,,10,2.7562178,Target,,,,,,,,
5,2.2295365,target,,,,,5,1.1933645,Target,,,10,1.2699557,Target,,,,,,,,
10,1.5277259,target,,,,,5,1.5836954,Target,,,10,1.0306896,Target,,,,,,,,
10,2.3272599,target,,,,,5,1.7339024,Target,,,10,1.1308444,Target,,,,,,,,
5,2.6883519,target,,,,,5,1.2796945,Target,,,10,2.6932045,Target,,,,,,,,
5,1.6086594,target,,,,,5,1.1911381,Target,,,10,1.7499726,Target,,,,,,,,
10,1.1427795,target,,,,,5,1.4457452,Target,,,10,1.4545511,Target,,,,,,,,
5,2.1444887,target,,,,,5,1.3337659,Target,,,10,2.3318836,Target,,,,,,,,
5,1.6819983,target,,,,,5,1.4124538,Target,,,10,1.836862,Target,,,,,,,,
10,1.2212514,target,,,,,5,1.2504143,Target,,,10,1.475954,Target,,,,,,,,
5,1.2012791,target,,,,,5,2.1324432,Target,,,10,1.921498,Target,,,,,,,,
5,1.4339911,target,,,,,5,1.2362911,Target,,,10,1.6592471,Target,,,,,,,,
10,2.4049558,target,,,,,5,1.3914422,Target,,,10,1.0398322,Target,,,,,,,,
10,2.7425679,target,,,,,5,1.0432406,Target,,,10,1.2599027,Target,,,,,,,,
10,1.5318644,target,,,,,5,1.7500478,Target,,,10,1.8852027,Target,,,,,,,,
10,1.7760004,target,,,,,5,1.4403294,Target,,,10,1.7937894,Target,,,,,,,,
5,2.0576741,target,,,,,5,2.0937261,Target,,,10,1.6107021,Target,,,,,,,,
5,1.522962,target,,,,,5,1.8158755,Target,,,10,2.1385309,Target,,,,,,,,
5,2.2160745,target,,,,,5,0.8787381,Target,,,10,1.2280013,Target,,,,,,,,
10,2.2608318,target,,,,,5,1.7030266,Target,,,10,1.1594012,Target,,,,,,,,
5,1.6621362,target,,,,,5,1.0662176,Target,,,10,1.3944475,Target,,,,,,,,
10,1.9738994,target,,,,,5,1.5782405,Target,,,10,1.6174415,Target,,,,,,,,
5,1.3763602,target,,,,,5,1.3695163,Target,,,10,1.4636741,Target,,,,,,,,
5,1.830303,target,,,,,5,1.0492387,Target,,,10,1.3939032,Target,,,,,,,,
5,1.6428007,target,,,,,5,1.75126,Target,,,10,1.2903378,Target,,,,,,,,
