num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,
5,2.3640373,Target,,,,,,,,,,,,,,,
5,2.5519841,Target,,,,,,,,,,,,,,,
10,1.4219197,Target,,,,,,,,,,,,,,,
5,1.9818504,Target,,,,,,,,,,,,,,,
10,2.7572785,Target,,,,,,,,,,,,,,,
5,1.1833748,Target,,,,,,,,,,,,,,,
5,2.1283754,Target,,,,,,,,,,,,,,,
10,2.0689208,Target,,,,,,,,,,,,,,,
5,1.4806823,Target,,,,,,,,,,,,,,,
10,2.8040883,Target,,,,,,,,,,,,,,,
10,1.802417,Target,,,,,,,,,,,,,,,
5,1.2810048,Target,,,,,,,,,,,,,,,
5,1.4151013,Target,,,,,,,,,,,,,,,
10,1.6093987,Target,,,,,,,,,,,,,,,
10,1.5992027,Target,,,,,,,,,,,,,,,
5,2.3168444,Target,,,,,,,,,,,,,,,
5,1.3483072,Target,,,,,,,,,,,,,,,
10,1.8740022,Target,,,,,,,,,,,,,,,
10,1.6898997,Target,,,,,,,,,,,,,,,
5,1.5658273,Target,,,,,,,,,,,,,,,
10,1.8395309,Target,,,,,,,,,,,,,,,
10,2.1274407,Target,,,,,,,,,,,,,,,
5,1.6983726,Target,,,,,,,,,,,,,,,
10,1.5763399,Target,,,,,,,,,,,,,,,
10,1.2280902,Target,,,,,,,,,,,,,,,
10,3.226535,Target,,,,,,,,,,,,,,,
10,2.2109852,Target,,,,,,,,,,,,,,,
10,2.0851514,Target,,,,,,,,,,,,,,,
10,1.6850971,Target,,,,,,,,,,,,,,,
5,1.9811579,Target,,,,,,,,,,,,,,,
10,2.661263,Target,,,,,,,,,,,,,,,
10,1.9211696,Target,,,,,,,,,,,,,,,
10,2.7226272,Target,,,,,,,,,,,,,,,
5,1.7376126,Target,,,,,,,,,,,,,,,
5,2.0184771,Target,,,,,,,,,,,,,,,
10,1.8035596,Target,,,,,,,,,,,,,,,
10,1.578976,Target,,,,,,,,,,,,,,,
10,1.4578645,Target,,,,,,,,,,,,,,,
10,1.372192,Target,,,,,,,,,,,,,,,
10,2.0722776,Target,,,,,,,,,,,,,,,
10,1.4435888,Target,,,,,,,,,,,,,,,
