cue,key_resp.corr,key_resp.rt,,,,key_resp.corr,cue,key_resp.rt,,,,pasted as value avg rt,,,,key_resp.corr,cue,key_resp.rt,task_switch_type,,key_resp.corr,cue,key_resp.rt,task_switch_type
y,1,0.3371786,,,,1,y,0.3164062,,,,,,,,1,y,0.9404957,hard_to_easy,,,,,
x,1,1.0607304,,,,1,y,0.3832112,,,,,,,,1,y,0.5474556,,,,,,
x,1,0.6799473,,,,1,y,0.4029877,,,,,,,,1,x,0.9369337,easy_to_hard,,,,,
y,1,0.5542981,,,,1,x,0.4501157,,,,,,,,1,x,0.5872205,,,,,,
y,1,0.3845309,,,,1,x,0.6593788,,,,,,,,1,y,0.8071843,hard_to_easy,,,,,
x,0,0.7915671,,,,1,y,0.2811654,,,,,,,,1,x,0.8079875,easy_to_hard,,,,,
x,1,0.5912275,,,,1,y,0.3098717,,,,,,,,1,x,0.4707834,,,,,,
y,1,0.9404957,,,,1,x,0.5044344,,,,,,,,1,y,0.3857613,hard_to_easy,,,,,
y,1,0.5474556,,,,1,x,0.4745213,,,,,,,,1,y,0.4284291,,,,,,
x,1,0.9369337,,,,1,x,0.612566,,,,,,,,1,y,0.3747861,,,,,,
x,1,0.5872205,,,,1,y,0.3476058,,,,,,,,1,y,0.37876,,,,,,
y,1,0.8071843,,,,1,x,2.400455,,,,,,,,1,x,0.7817833,easy_to_hard,,,,,
x,1,0.8079875,,,,1,y,0.3371786,,,,,,,,1,x,0.4595243,,,,,,
x,1,0.4707834,,,,1,x,0.6799473,,,,,,,,1,x,0.7164021,,,,,,
y,1,0.3857613,,,,1,y,0.3845309,,,,,,,,1,x,0.5618422,,,,,,
y,1,0.4284291,,,,1,y,0.5474556,,,,,,,,1,y,0.6363372,hard_to_easy,,,,,
y,1,0.3747861,,,,1,x,0.5872205,,,,,,,,1,y,0.3072012,,,,,,
y,1,0.37876,,,,1,x,0.4707834,,,,,,,,1,y,0.3262361,,,,,,
x,1,0.7817833,,,,1,y,0.4284291,,,,,,,,1,y,0.3302307,,,,,,
x,1,0.4595243,,,,1,y,0.3747861,,,,,,,,1,x,0.7436352,easy_to_hard,,,,,
x,1,0.7164021,,,,1,y,0.37876,,,,,,,,1,x,0.3711077,,,,,,
x,1,0.5618422,,,,1,x,0.4595243,,,,,,,,1,x,0.3814349,,,,,,
y,1,0.6363372,,,,1,x,0.7164021,,,,,,,,1,y,0.5461292,hard_to_easy,,,,,
y,1,0.3072012,,,,1,x,0.5618422,,,,,,,,1,x,0.6795415,easy_to_hard,,,,,
y,1,0.3262361,,,,1,y,0.3072012,,,,,,,,1,y,0.370604,hard_to_easy,,,,,
y,1,0.3302307,,,,1,y,0.3262361,,,,,,,,1,y,0.4163963,,,,,,
x,1,0.7436352,,,,1,y,0.3302307,,,,,,,,1,x,0.8210724,easy_to_hard,,,,,
x,1,0.3711077,,,,1,x,0.3711077,,,,,,,,1,x,0.6694435,,,,,,
x,0,0.3964852,,,,1,x,0.3814349,,,,,,,,1,y,0.3758902,hard_to_easy,,,,,
x,1,0.3814349,,,,1,y,0.4163963,,,,,,,,1,x,0.6097918,easy_to_hard,,,,,
y,0,0.4436097,,,,1,x,0.6694435,,,,,,,,1,y,0.36218,hard_to_easy,,,,,
y,1,0.5461292,,,,,,,,,,,,,,,,,,,,,,
x,1,0.6795415,,,,,,,,,,,,,,,,,,,,,,
y,1,0.370604,,,,,,,,,,,,,,,,,,,,,,
y,1,0.4163963,,,,,,,,,,,,,,,,,,,,,,
x,1,0.8210724,,,,,,,,,,,,,,,,,,,,,,
x,1,0.6694435,,,,,,,,,,,,,,,,,,,,,,
y,1,0.3758902,,,,,,,,,,,,,,,,,,,,,,
x,1,0.6097918,,,,,,,,,,,,,,,,,,,,,,
y,1,0.36218,,,,,,,,,,,,,,,,,,,,,,
