cue,key_resp.corr,key_resp.rt,,,key_resp.corr,cue,key_resp.rt,,,,pasted as values rt,,,,key_resp.corr,cue,key_resp.rt,task_switch_type,,key_resp.corr,cue,key_resp.rt,task_switch_type
y,1,0.451307,,,1,x,0.3881131,,,,,,,,1,y,0.386326999,hard_to_easy,,,,,
y,1,0.4011144,,,1,y,0.287792101,,,,,,,,1,x,0.5673841,easy_to_hard,,,,,
x,1,1.3553729,,,1,x,0.425340501,,,,,,,,1,x,0.4409088,,,,,,
y,1,0.4668845,,,1,y,0.3765134,,,,,,,,1,y,0.3336132,hard_to_easy,,,,,
x,1,0.4706851,,,1,y,0.3239825,,,,,,,,1,x,0.7472705,easy_to_hard,,,,,
y,1,0.5139017,,,1,y,0.380694,,,,,,,,1,x,0.5646104,,,,,,
x,1,0.542934,,,1,x,0.4237817,,,,,,,,1,y,0.461253201,hard_to_easy,,,,,
y,1,0.386326999,,,1,x,0.556389401,,,,,,,,1,y,0.5318136,,,,,,
x,1,0.5673841,,,1,x,0.5558186,,,,,,,,1,y,0.3831385,,,,,,
x,1,0.4409088,,,1,y,0.2899252,,,,,,,,1,x,0.501665699,easy_to_hard,,,,,
y,0,0.4389651,,,1,x,0.4600512,,,,,,,,1,y,0.4155843,hard_to_easy,,,,,
y,1,0.3336132,,,1,y,0.4512434,,,,,,,,1,y,0.4483711,,,,,,
x,1,0.7472705,,,1,x,0.5280021,,,,,,,,1,x,0.526529999,easy_to_hard,,,,,
x,1,0.5646104,,,1,y,0.4925543,,,,,,,,1,y,0.3943831,hard_to_easy,,,,,
y,1,0.461253201,,,1,x,0.3202556,,,,,,,,1,y,0.4150992,,,,,,
x,0,0.644030999,,,1,y,0.301491,,,,,,,,1,x,0.4506518,easy_to_hard,,,,,
x,0,0.8115847,,,1,x,0.4579368,,,,,,,,1,y,0.3729683,hard_to_easy,,,,,
y,1,0.5318136,,,1,x,0.691909201,,,,,,,,1,x,0.5936872,easy_to_hard,,,,,
y,1,0.3831385,,,1,y,0.303307,,,,,,,,1,x,0.534672,,,,,,
x,0,0.6395817,,,1,y,0.3398162,,,,,,,,1,y,0.589307199,hard_to_easy,,,,,
x,1,0.501665699,,,1,x,0.3955558,,,,,,,,1,x,0.8807809,easy_to_hard,,,,,
y,1,0.4155843,,,1,x,0.4283919,,,,,,,,1,x,0.623804901,,,,,,
y,1,0.4483711,,,1,y,0.3387202,,,,,,,,1,y,0.4202532,hard_to_easy,,,,,
x,1,0.526529999,,,1,y,0.334454199,,,,,,,,1,x,0.6518456,easy_to_hard,,,,,
y,1,0.3943831,,,1,x,0.507829,,,,,,,,1,x,0.5068975,,,,,,
y,1,0.4150992,,,1,y,0.314985001,,,,,,,,1,y,0.4128793,hard_to_easy,,,,,
x,1,0.4506518,,,1,x,0.419480699,,,,,,,,1,y,0.3609898,,,,,,
y,1,0.3729683,,,1,y,0.4011144,,,,,,,,1,y,0.362892901,,,,,,
x,1,0.5936872,,,1,x,0.4409088,,,,,,,,1,x,0.7447101,easy_to_hard,,,,,
x,1,0.534672,,,1,x,0.5646104,,,,,,,,1,y,0.369703,hard_to_easy,,,,,
y,1,0.589307199,,,1,y,0.5318136,,,,,,,,1,x,0.6295413,easy_to_hard,,,,,
x,1,0.8807809,,,1,y,0.3831385,,,,,,,,1,y,0.3986938,hard_to_easy,,,,,
x,1,0.623804901,,,1,y,0.4483711,,,,,,,,1,y,0.3412657,,,,,,
y,1,0.4202532,,,1,y,0.4150992,,,,,,,,1,x,0.557922,easy_to_hard,,,,,
x,1,0.6518456,,,1,x,0.534672,,,,,,,,1,y,0.3695673,hard_to_easy,,,,,
x,1,0.5068975,,,1,x,0.623804901,,,,,,,,1,y,0.5056423,,,,,,
y,1,0.4128793,,,1,x,0.5068975,,,,,,,,1,x,0.3856018,easy_to_hard,,,,,
y,1,0.3609898,,,1,y,0.3609898,,,,,,,,1,y,0.398828999,hard_to_easy,,,,,
y,1,0.362892901,,,1,y,0.362892901,,,,,,,,1,x,0.783483,easy_to_hard,,,,,
x,1,0.7447101,,,1,y,0.3412657,,,,,,,,1,y,0.3679482,hard_to_easy,,,,,
y,1,0.369703,,,1,y,0.5056423,,,,,,,,1,x,0.6743259,easy_to_hard,,,,,
x,1,0.6295413,,,,,,,,,,,,,,,,,,,,,
y,1,0.3986938,,,,,,,,,,,,,,,,,,,,,
y,1,0.3412657,,,,,,,,,,,,,,,,,,,,,
x,1,0.557922,,,,,,,,,,,,,,,,,,,,,
y,1,0.3695673,,,,,,,,,,,,,,,,,,,,,
x,0,0.7274368,,,,,,,,,,,,,,,,,,,,,
y,1,0.5056423,,,,,,,,,,,,,,,,,,,,,
x,0,0.67508,,,,,,,,,,,,,,,,,,,,,
x,1,0.3856018,,,,,,,,,,,,,,,,,,,,,
y,1,0.398828999,,,,,,,,,,,,,,,,,,,,,
x,1,0.783483,,,,,,,,,,,,,,,,,,,,,
y,0,0.384208901,,,,,,,,,,,,,,,,,,,,,
y,1,0.3679482,,,,,,,,,,,,,,,,,,,,,
x,1,0.6743259,,,,,,,,,,,,,,,,,,,,,
